,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
40,2,188,9.17,2,1,2,8,4.5,1,1,12,1,0,0,221,0
41,2,136,15.0,2,1,2,4,5.335,1,1,11,0,0,0,2283,0
42,2,142,1.415,2,1,13,4,0.75,1,1,1,0,0,84,100,0
43,2,234,13.915,2,1,13,8,8.625,1,1,6,1,0,19,0,0
44,2,316,28.0,3,3,2,8,28.5,1,1,40,0,0,0,15,0
45,2,309,6.75,2,1,2,4,2.625,1,1,11,1,0,0,284,0
46,1,243,2.04,3,3,11,4,0.125,1,1,23,1,0,143,1236,0
47,2,166,4.46,2,1,3,4,6.04,1,1,3,0,0,103,300,0
48,2,247,1.54,2,1,7,1,3.5,0,0,0,0,0,74,0,0
49,2,84,0.665,2,1,2,8,0.165,0,0,0,0,0,31,0,0
50,1,103,0.5,2,1,2,4,0.875,1,0,0,1,0,149,0,0
51,2,106,1.0,2,1,11,8,1.75,1,0,0,1,0,96,0,0
52,2,215,2.04,2,1,13,8,0.04,1,0,0,1,0,129,5800,0
53,2,196,2.5,2,1,13,8,0.0,1,0,0,1,0,83,200,0
54,2,189,3.0,2,1,3,4,7.415,1,0,0,1,0,0,0,0
55,2,79,11.625,3,3,13,8,0.835,1,0,0,1,0,52,300,0
56,2,77,0.0,2,1,3,8,0.085,1,0,0,0,0,0,0,0
57,2,265,0.5,2,1,7,4,5.0,1,0,0,1,0,105,0,0
58,2,198,4.5,2,1,14,4,5.75,0,0,0,1,2,162,0,0
59,2,261,3.0,2,1,11,4,6.0,1,1,11,0,0,23,0,0
60,2,319,12.25,2,1,10,8,1.25,1,1,4,1,0,67,0,0
61,2,163,16.165,2,1,4,8,3.0,1,1,9,0,0,85,730,0
62,1,80,0.79,3,3,11,8,1.5,1,1,2,1,0,23,400,0
63,1,46,0.835,2,1,11,8,1.585,1,1,1,0,0,0,0,0
64,2,113,4.25,2,1,3,8,4.29,1,1,1,1,0,37,0,0
65,2,188,1.54,2,1,3,8,1.54,1,1,1,1,0,154,50000,0
66,1,203,1.0,2,1,2,8,2.0,1,1,11,0,0,0,456,0
67,2,100,0.375,2,1,10,8,0.25,1,1,3,0,0,90,15108,0
68,2,36,6.5,2,1,13,4,1.46,1,1,7,0,0,23,2954,0
69,2,198,25.125,2,1,14,4,1.625,1,1,1,1,0,152,500,0
70,2,171,7.5,2,1,5,1,1.585,1,0,0,1,2,134,0,1
71,2,195,4.0,2,1,4,1,12.5,1,0,0,1,0,170,0,1
72,1,223,5.0,2,1,3,8,13.5,1,0,0,1,0,167,0,1
73,2,264,0.5,2,1,10,8,10.75,1,0,0,0,2,129,0,1
74,2,266,7.0,3,3,2,8,1.625,0,0,0,0,0,52,2,1
75,2,48,5.29,2,1,11,8,0.375,1,1,1,0,0,52,0,1
76,2,187,6.5,2,1,1,8,0.125,1,0,0,1,0,140,0,1
77,1,34,0.585,3,3,1,8,0.585,1,0,0,1,0,52,0,1
78,2,59,1.165,3,3,9,8,2.5,1,1,1,0,0,62,20,1
79,2,57,9.75,2,1,2,8,0.25,1,0,0,0,0,44,0,1
80,2,292,19.0,2,1,6,3,0.0,1,1,1,0,0,28,0,1
81,1,123,1.5,2,1,10,8,2.0,1,0,0,0,2,116,0,1
82,2,235,0.5,2,1,10,8,0.25,1,0,0,0,2,97,0,1
83,1,349,3.5,2,1,4,8,3.0,1,0,0,1,0,100,0,1
84,2,119,0.625,2,1,1,8,0.455,1,0,0,1,0,67,0,1
85,2,213,4.0,2,1,2,1,5.0,1,0,0,1,2,96,0,1
86,2,349,0.375,2,1,4,8,0.875,1,0,0,1,2,166,0,1
87,2,102,2.21,3,3,1,8,4.0,1,0,0,0,0,65,0,1
88,2,186,4.5,2,1,1,8,1.0,1,0,0,1,0,84,0,1
89,1,289,1.5,2,1,8,5,0.0,1,0,0,1,0,31,27,1
90,2,334,12.75,3,3,2,4,5.0,1,0,0,0,0,35,0,1
91,2,161,15.5,2,1,2,8,0.5,1,0,0,0,0,37,0,1
92,2,349,5.0,3,3,1,8,8.5,1,0,0,0,0,0,0,1
93,2,303,1.375,3,3,2,4,9.46,1,0,0,1,0,67,100,1
94,2,135,1.5,3,3,2,8,1.5,1,0,0,1,0,0,225,1
95,1,133,3.54,2,1,7,1,0.5,1,0,0,1,0,58,0,1
96,2,75,0.625,3,3,1,8,0.125,1,0,0,0,0,62,1,1
97,2,349,0.5,2,1,2,1,0.835,1,0,0,1,2,105,0,1
98,1,69,11.0,3,3,11,8,3.0,1,0,0,1,0,92,0,1
99,1,132,1.0,2,1,11,8,1.0,1,1,2,1,0,55,500,1
100,2,216,1.75,3,3,2,1,0.25,1,0,0,1,0,54,400,1
101,2,199,16.5,3,3,2,8,4.0,1,0,0,0,0,23,0,1
102,2,29,5.0,2,1,11,8,0.375,1,1,2,0,0,0,38,1
103,2,94,12.0,2,1,9,8,2.25,1,1,2,1,0,37,5,1
104,2,125,4.0,3,3,7,4,5.75,1,1,2,1,0,21,0,1
105,2,312,15.5,2,1,5,9,0.0,1,1,20,0,0,49,130,1
106,2,135,1.165,2,1,9,8,0.5,1,0,0,0,2,96,0,1
107,1,94,11.0,3,3,1,8,4.5,1,0,0,0,0,37,0,1
108,2,242,2.25,3,3,14,4,10.0,1,0,0,1,0,60,0,1
109,1,40,0.75,2,1,2,8,0.795,1,1,5,1,0,44,5,1
110,2,137,3.5,2,1,13,8,3.5,1,1,3,1,0,106,0,1
111,1,89,1.04,3,3,6,3,0.5,1,1,3,0,0,62,147,1
112,2,90,12.5,2,1,13,8,0.875,1,0,0,1,0,90,0,1
113,1,184,0.75,2,1,9,1,1.0,1,1,3,1,0,73,0,1
114,2,48,1.25,3,3,2,4,1.375,1,1,3,1,0,44,210,1
115,1,99,1.125,2,1,11,8,1.29,1,1,2,0,0,67,0,1
116,2,218,7.0,2,1,11,4,11.5,1,1,7,1,0,100,5,1
117,2,305,6.5,2,1,9,8,6.29,1,1,15,0,0,0,11202,0
118,2,324,7.04,2,1,10,8,14.0,1,1,6,1,0,115,1332,0
119,1,49,10.335,2,1,3,4,0.335,1,1,1,1,0,23,50,0
120,2,236,6.21,2,1,11,8,0.04,1,1,1,0,0,67,300,0
121,2,102,12.5,2,1,3,8,1.21,1,1,67,1,0,44,258,0
122,1,91,12.5,2,1,1,8,1.5,1,1,12,1,0,37,567,0
123,1,263,6.665,2,1,11,8,7.375,1,1,3,1,0,0,0,0
124,1,81,9.0,2,1,11,8,8.5,1,1,5,1,0,37,0,0
125,2,196,5.0,2,1,14,4,7.5,1,1,6,1,0,0,1000,0
126,2,279,2.5,2,1,10,1,2.5,1,1,12,1,0,131,2510,0
127,2,72,11.0,2,1,11,8,2.5,1,1,7,1,0,31,809,0
128,2,190,4.25,2,1,7,1,3.25,1,1,2,0,0,94,610,0
129,1,131,3.5,2,1,13,8,0.835,1,0,0,0,2,96,0,0
130,2,340,5.5,2,1,5,9,13.0,1,1,1,1,0,0,0,0
131,2,46,1.835,2,1,2,8,2.25,1,1,1,0,0,31,150,0
132,1,278,8.0,2,1,5,1,6.5,1,1,6,0,0,121,51100,0
133,2,206,5.0,2,1,2,1,2.5,1,1,6,0,0,0,367,0
134,2,173,5.5,2,1,11,4,5.5,1,1,12,1,0,130,1000,0
135,2,287,6.5,2,1,11,4,6.0,1,0,0,1,0,112,0,0
136,2,236,0.54,3,3,1,8,0.5,1,1,3,0,0,67,1000,0
137,2,182,2.75,2,1,10,8,4.25,1,1,6,0,0,69,0,0
138,1,31,9.5,2,1,13,8,1.625,1,1,6,1,0,10,600,0
139,1,116,13.5,2,1,11,4,5.0,1,1,2,0,0,0,5000,0
140,1,159,3.75,2,1,3,4,0.625,1,1,9,1,0,63,0,0
141,1,317,16.0,2,1,8,3,0.0,1,1,15,0,0,0,247,0
142,2,258,0.29,3,3,3,4,1.75,1,1,8,0,0,31,375,0
143,2,67,11.0,2,1,13,8,2.0,1,1,1,0,0,23,278,0
144,2,119,1.665,2,1,3,4,5.085,1,1,9,0,0,128,827,0
145,2,175,2.5,2,1,3,4,2.75,1,1,6,0,0,52,2072,0
146,2,78,1.5,2,1,11,8,2.375,1,1,3,1,0,0,582,0
147,1,239,7.54,3,3,11,4,8.0,1,1,14,0,0,0,2300,0
148,1,152,6.5,2,1,2,1,4.0,1,1,7,1,0,0,3065,0
149,1,306,15.0,2,1,2,8,5.5,1,1,14,0,0,0,2200,0
150,1,273,0.46,2,1,3,4,0.415,1,1,11,1,0,139,6,0
151,1,325,10.0,2,1,11,8,4.0,1,1,14,0,0,0,1602,0
152,2,214,6.5,2,1,10,4,4.25,1,1,12,1,0,27,0,0
153,2,76,2.5,2,1,2,8,1.085,1,1,11,1,0,17,2184,0
154,2,174,1.5,2,1,3,4,5.5,1,1,3,1,0,0,0,0
155,1,59,11.5,3,3,8,5,0.0,1,1,11,1,0,0,0,0
156,1,132,3.04,3,3,14,4,2.54,1,1,1,0,0,19,0,0
157,1,341,15.0,2,1,5,9,0.0,1,1,14,0,0,0,3376,0
158,2,126,2.0,2,1,9,4,4.165,1,1,2,1,0,63,0,0
159,2,187,0.08,3,3,10,1,0.04,1,1,1,1,0,96,2000,0
160,2,123,2.0,2,1,14,4,1.0,1,1,4,0,0,44,7544,0
161,2,262,2.0,2,1,10,8,1.75,1,1,2,1,0,0,15,0
162,2,95,1.71,2,1,14,8,1.665,1,1,1,1,0,126,20,0
163,2,167,1.75,3,3,5,4,0.04,1,0,0,1,0,125,0,0
164,1,332,16.5,2,1,11,8,11.0,1,0,0,1,0,3,10561,0
165,1,241,10.0,2,1,11,4,1.75,1,0,0,0,0,7,837,0
166,2,35,9.5,2,1,11,8,1.0,1,0,0,1,0,17,400,0
167,1,171,0.54,2,1,3,8,0.04,1,0,0,0,0,139,11177,0
168,2,211,3.25,2,1,11,4,9.0,1,0,0,1,0,32,639,0
169,2,216,1.125,3,3,4,8,1.5,0,0,0,1,0,136,0,0
170,1,95,2.54,3,3,1,8,0.25,1,0,0,1,0,118,0,0
171,2,245,0.0,2,1,2,1,15.0,1,0,0,0,0,0,0,0
172,2,315,12.5,2,1,9,4,8.0,1,0,0,1,0,5,2028,0
173,1,293,13.585,2,1,9,4,8.5,1,0,0,1,0,0,0,0
174,2,71,10.5,2,1,11,4,1.335,1,0,0,0,0,31,0,0
175,2,117,1.5,3,3,13,8,0.375,1,0,0,1,0,90,1065,0
176,2,94,12.5,2,1,1,8,3.0,1,0,0,1,2,2,0,0
177,1,107,8.665,2,1,1,8,1.415,1,0,0,0,0,52,150,0
178,1,26,9.25,2,1,11,8,1.21,1,1,4,0,0,17,540,0
179,2,43,8.17,2,1,1,8,1.96,1,1,14,0,0,17,158,0
180,2,279,0.29,2,1,2,1,15.0,1,1,20,0,0,0,15000,0
181,1,54,2.335,2,1,7,1,0.5,1,1,4,0,2,23,0,0
182,1,48,3.0,2,1,11,8,0.165,1,1,3,0,0,31,6,0
183,1,321,19.5,2,1,2,8,5.5,1,1,7,0,0,0,3000,0
184,1,68,5.665,2,1,11,8,2.585,1,1,7,0,0,40,3257,0
185,2,288,8.5,2,1,2,4,12.5,1,1,9,0,0,63,1655,0
186,2,237,6.5,2,1,1,1,3.5,1,1,1,0,0,0,500,0
187,2,240,5.0,2,1,2,8,5.0,1,1,7,0,0,0,3065,0
188,1,134,1.04,2,1,2,8,2.5,1,1,5,1,0,100,1430,0
189,1,178,4.625,2,1,11,4,1.625,1,1,2,0,0,0,0,0
190,2,55,10.5,2,1,2,8,3.0,1,0,0,1,0,0,0,0
191,2,251,0.205,2,1,7,4,5.125,1,0,0,0,0,129,0,0
192,2,249,0.96,2,1,14,8,2.5,1,0,0,0,0,151,600,0
193,2,71,1.585,3,3,13,8,3.085,1,1,6,0,0,23,0,0
194,2,191,4.04,3,3,7,1,8.5,1,1,7,1,0,66,0,0
195,2,129,5.04,3,3,2,1,1.5,1,1,8,1,0,46,7,0
196,2,179,3.165,3,3,14,8,3.165,1,1,3,1,0,122,0,0
197,2,283,7.625,2,1,13,4,15.5,1,1,12,0,0,0,790,0
198,2,122,2.04,3,3,1,8,2.0,1,1,3,1,0,118,560,0
199,2,70,10.04,2,1,14,8,0.04,1,1,9,0,0,17,396,0
200,1,85,0.5,2,1,11,4,1.25,1,1,1,0,0,0,678,0
201,1,245,1.0,2,1,7,1,2.25,1,0,0,1,0,0,300,0
202,2,92,2.75,2,1,2,8,2.25,1,1,6,0,0,170,600,0
203,1,49,10.25,2,1,11,8,0.71,1,1,2,1,0,13,0,0
204,2,207,2.125,3,3,13,8,0.085,1,1,1,0,0,14,1187,0
205,1,200,12.0,2,1,11,4,14.0,1,1,8,0,0,0,6590,0
206,1,344,0.0,0,0,0,0,0.0,0,0,0,0,1,170,0,0
207,2,134,9.335,2,1,11,4,5.665,1,1,6,0,0,123,168,0
208,2,198,2.5,2,1,9,8,4.5,1,1,7,0,0,48,1270,0
209,2,233,4.25,2,1,2,1,6.5,1,1,16,0,0,36,1210,0
210,2,231,5.875,2,1,3,4,10.0,1,1,14,1,0,128,0,0
211,2,87,6.625,3,3,4,8,5.5,1,0,0,1,2,31,0,0
212,2,331,14.5,2,1,6,3,18.0,1,1,15,1,0,0,1000,0
213,2,76,11.5,2,1,7,8,3.5,1,1,9,0,0,16,742,0
214,2,113,2.71,3,3,3,8,5.25,1,1,1,0,0,72,0,0
215,2,283,3.5,2,1,1,8,3.5,1,0,0,0,2,80,0,0
216,2,244,4.04,2,1,3,4,7.0,1,1,8,0,0,105,0,0
217,2,314,11.5,2,1,6,3,5.0,1,1,5,0,0,0,8851,0
218,2,308,9.625,2,1,5,8,8.665,1,1,5,0,0,0,0,0
219,1,32,9.25,3,3,2,8,1.0,1,1,4,1,0,23,500,0
220,1,294,12.54,2,1,1,8,2.29,1,1,3,1,0,51,0,0
221,2,339,11.0,2,1,5,9,20.0,1,1,7,1,0,4,0,0
222,1,17,9.0,2,1,1,8,1.375,1,0,0,1,0,0,0,0
223,1,31,9.54,2,1,1,8,0.085,1,0,0,0,0,31,0,0
224,1,218,5.5,2,1,11,8,0.125,1,0,0,1,0,79,0,0
225,2,78,4.0,2,1,2,1,0.25,1,0,0,1,0,52,0,0
226,2,22,5.5,2,1,9,8,0.5,1,0,0,0,0,23,0,0
227,1,69,8.46,3,3,14,8,2.46,0,0,0,0,0,54,0,0
228,2,39,0.375,2,1,11,8,2.0,1,1,2,1,0,23,0,0
229,2,64,11.0,2,1,3,8,0.665,1,0,0,0,0,31,0,0
230,2,96,3.5,2,1,3,8,0.625,1,1,7,0,0,0,7059,0
231,1,278,3.0,2,1,14,8,13.875,1,1,2,1,0,153,1704,0
232,2,181,1.75,2,1,14,4,4.5,1,1,4,1,0,87,857,0
233,2,123,13.75,2,1,13,8,5.75,1,0,0,1,0,148,500,0
234,1,326,21.0,2,1,7,1,10.0,1,1,13,0,0,0,6700,0
235,1,48,1.835,2,1,11,8,2.085,1,1,5,0,0,75,2503,0
236,2,108,0.25,2,1,7,1,0.0,1,0,0,1,0,0,0,0
237,2,55,7.5,2,1,1,8,1.415,1,1,1,0,0,23,9800,0
238,2,257,4.625,2,1,11,8,4.58,1,0,0,0,2,0,0,0
239,2,219,10.125,2,1,14,8,2.5,1,1,6,0,0,154,196,0
240,2,47,10.0,3,3,2,8,2.5,1,0,0,0,2,10,0,0
241,2,284,25.085,2,1,13,8,1.75,1,1,3,0,0,37,14,0
242,2,130,5.0,2,1,13,8,11.0,1,0,0,1,0,19,0,0
243,1,30,7.5,2,1,11,8,2.71,1,1,5,0,0,170,26726,0
244,2,27,2.0,2,1,7,8,1.5,1,1,2,0,0,37,300,0
245,2,179,3.04,3,3,2,4,2.04,1,1,1,1,0,62,18027,0
246,2,267,8.5,2,1,3,4,14.0,1,1,1,1,0,25,2000,0
247,1,39,0.21,2,1,11,4,0.29,1,1,11,0,0,23,99,0
248,0,89,12.75,2,1,2,1,4.75,1,1,2,0,0,20,444,0
249,2,61,11.0,2,1,14,8,0.29,1,1,6,0,0,38,0,0
250,2,238,21.5,2,1,5,9,20.0,1,1,11,0,0,0,1200,0
251,2,246,5.0,2,1,11,4,5.0,1,1,6,1,0,146,0,0
252,1,19,11.0,2,1,14,4,1.0,1,1,11,0,0,0,3000,0
253,2,77,11.125,2,1,14,4,0.46,1,1,1,0,0,31,0,0
254,2,349,0.625,2,1,9,8,0.25,0,0,0,0,0,122,2010,1
255,2,23,10.25,2,1,2,4,1.085,0,0,0,0,0,105,13,1
256,2,41,11.045,2,1,2,8,2.0,0,0,0,1,0,43,0,1
257,2,41,0.0,2,1,4,8,0.5,0,0,0,0,0,46,0,1
258,1,49,9.54,2,1,7,8,0.04,0,0,0,0,0,67,1000,1
259,1,89,1.75,3,3,2,8,0.165,0,0,0,0,0,42,0,1
260,2,174,2.335,2,1,4,4,5.75,0,0,0,1,0,99,0,1
261,1,302,0.0,3,3,6,3,0.0,0,0,0,0,0,0,0,1
262,1,283,1.335,2,1,7,7,0.335,0,0,0,0,0,0,120,1
263,1,46,10.5,3,3,14,4,0.0,0,0,0,1,0,50,32,1
264,2,296,0.585,2,1,6,3,0.0,0,0,0,0,0,47,0,1
265,2,12,0.085,3,3,2,8,0.04,0,0,0,0,0,44,722,1
266,2,25,1.21,3,3,5,2,0.0,0,0,0,0,0,31,0,1
267,1,167,6.0,2,1,4,8,1.25,0,0,0,0,0,93,0,1
268,2,330,1.54,2,1,11,8,0.125,1,0,0,1,0,90,0,0
269,2,21,0.165,2,1,11,6,0.21,0,0,0,0,0,67,40,0
270,2,217,0.0,0,0,0,0,0.0,0,0,0,0,1,170,0,0
271,2,171,2.5,2,1,2,8,1.25,0,0,0,1,0,96,0,1
272,2,22,6.75,3,3,10,8,0.04,0,0,0,0,0,44,0,1
273,2,220,10.125,3,3,9,8,0.125,0,0,0,0,0,52,0,1
274,2,154,2.5,2,1,3,4,2.25,0,0,0,1,2,109,0,1
275,2,28,5.71,2,1,4,8,0.54,0,0,0,0,0,37,0,1
276,1,34,5.415,2,1,7,4,0.29,0,0,0,0,0,23,484,1
277,1,23,10.0,3,3,11,4,0.165,0,0,0,0,0,109,0,1
278,2,90,13.5,3,3,6,3,0.0,0,0,0,0,0,170,0,1
279,2,8,0.835,2,1,10,8,0.085,1,0,0,0,2,67,0,1
280,2,53,0.875,3,3,2,4,0.25,0,0,0,0,0,96,204,1
281,2,84,0.585,3,3,3,4,0.125,0,0,0,0,0,84,1,1
282,2,18,4.46,2,1,2,8,0.25,0,0,0,0,2,23,0,1
283,1,10,1.25,2,1,11,8,0.25,0,1,1,0,0,33,98,1
284,2,78,12.625,2,1,2,8,0.125,0,1,2,0,0,0,5552,1
285,2,17,10.0,2,1,13,4,0.165,0,1,1,0,0,37,1,1
286,1,349,1.5,2,1,6,3,0.0,0,1,2,1,0,67,105,1
287,2,140,0.58,2,1,13,8,0.29,0,1,1,0,0,109,2803,1
288,2,31,0.415,3,3,2,8,0.165,0,1,1,0,0,67,1,1
289,1,60,1.75,3,3,8,5,0.0,0,0,0,0,0,52,0,1
290,2,75,0.75,2,1,10,8,0.5,0,0,0,1,2,105,0,1
291,1,24,10.0,2,1,13,8,1.0,0,1,1,0,0,37,1,1
292,2,99,0.54,2,1,13,8,0.165,0,1,1,0,0,93,444,1
293,2,202,2.415,2,1,13,8,0.125,0,1,2,0,0,75,1,1
294,1,6,0.335,2,1,6,3,0.0,0,1,1,0,0,52,126,1
295,1,166,3.125,2,1,6,3,3.04,0,1,2,1,0,67,4,1
296,2,342,9.0,2,1,6,3,4.0,0,1,1,0,0,19,6,1
297,2,176,2.5,2,1,1,8,1.75,0,1,2,1,0,163,0,1
298,2,9,2.75,2,1,1,8,0.665,0,1,1,0,0,23,21,1
299,2,65,12.125,2,1,2,8,3.335,0,1,2,1,0,62,173,1
300,1,323,2.0,2,1,6,3,6.5,0,1,1,0,0,0,10,1
301,2,24,0.165,2,1,4,8,0.25,0,0,0,1,2,96,0,1
302,2,80,1.0,2,1,2,8,0.5,0,0,0,1,2,96,0,1
303,1,4,2.875,2,1,11,8,0.085,0,0,0,0,0,37,0,1
304,1,91,13.665,2,1,11,4,1.5,0,0,0,0,0,96,1,1
305,2,288,26.335,3,3,6,3,0.0,1,0,0,1,0,0,0,1
306,2,81,2.75,2,1,6,3,4.5,0,0,0,0,0,52,25,1
307,2,28,10.29,2,1,6,3,0.415,0,0,0,0,0,23,0,1
308,2,124,1.29,2,1,9,4,0.25,0,0,0,1,2,44,0,1
309,1,164,3.0,3,3,8,5,0.0,0,0,0,0,0,52,20,1
310,1,92,4.5,2,1,13,8,1.0,0,0,0,1,0,115,6,1
311,2,33,1.75,3,3,2,8,2.335,0,0,0,1,0,35,6,1
312,1,9,0.21,2,1,1,8,0.125,0,0,0,0,0,67,1,1
313,1,28,10.0,2,1,4,8,0.415,0,0,0,0,0,23,42,1
314,2,8,0.0,3,3,1,8,0.25,0,0,0,0,0,17,0,1
315,2,75,0.75,2,1,10,8,0.5,1,0,0,1,2,105,0,1
316,2,53,0.25,3,3,2,4,0.25,0,0,0,0,0,96,204,1
317,2,16,22.0,1,2,6,7,0.0,0,0,0,1,1,141,100000,0
318,2,34,0.0,3,3,10,1,0.0,0,0,0,1,2,150,1,0
319,2,212,0.125,3,3,2,8,1.5,0,0,0,1,0,82,113,0
320,2,54,1.5,2,1,13,8,1.5,0,0,0,0,0,48,8,0
321,1,22,0.375,1,2,3,3,10.0,0,0,0,1,2,100,0,0
322,1,183,0.375,2,1,3,8,0.375,0,0,0,0,0,100,44,0
323,2,287,0.205,3,3,9,8,0.25,1,1,11,0,0,122,2732,0
324,2,183,1.25,2,1,13,8,1.165,0,0,0,0,0,37,0,1
325,1,140,1.085,3,3,14,8,1.0,0,0,0,0,0,96,13,1
326,2,148,1.085,3,3,2,8,0.04,0,0,0,0,0,57,179,1
327,0,241,3.5,2,1,7,1,0.5,0,0,0,0,2,168,0,1
328,2,195,2.5,3,3,13,8,3.0,0,0,0,0,2,67,0,1
329,2,349,4.0,3,3,7,8,0.085,0,0,0,1,0,132,0,1
330,2,46,0.0,0,0,0,0,0.0,0,0,0,0,1,170,0,1
331,1,180,2.5,3,3,2,8,2.5,0,0,0,1,0,0,2,1
332,2,187,2.5,2,1,2,8,1.0,0,0,0,0,0,144,16,1
333,1,97,12.5,2,1,4,8,1.0,0,0,0,1,0,62,1062,1
334,2,194,2.5,2,1,3,1,0.5,0,0,0,0,0,110,0,1
335,2,123,0.75,2,1,11,4,0.165,0,0,0,1,0,75,251,1
336,2,277,6.5,2,1,2,8,1.0,0,0,0,1,0,0,228,1
337,1,195,1.25,3,3,7,4,0.5,0,0,0,1,0,52,0,1
338,1,180,3.0,3,3,1,8,2.0,0,0,0,0,0,62,0,1
339,2,126,3.0,2,1,13,8,0.75,0,0,0,1,0,100,67,1
340,1,228,4.0,2,1,2,8,3.0,0,0,0,0,0,147,0,1
341,2,256,4.085,2,1,1,8,0.04,0,0,0,0,0,33,100,1
342,2,116,2.25,2,1,7,1,0.5,0,0,0,1,0,160,4000,1
343,2,184,2.75,2,1,7,1,0.0,0,0,0,0,0,62,0,1
344,2,226,1.75,2,1,9,8,0.5,0,0,0,1,0,100,2,1
345,2,335,7.0,2,1,5,9,0.0,0,0,0,0,0,0,12,1
346,0,170,1.5,2,1,2,8,0.25,0,0,0,1,0,120,122,1
347,2,114,4.5,3,3,2,1,2.5,0,0,0,0,0,67,1210,1
348,2,336,0.54,2,1,2,8,0.585,1,1,3,1,0,62,0,1
349,2,125,1.5,2,1,13,8,2.25,0,1,1,1,0,31,3,1
350,1,108,2.0,2,1,8,5,0.0,0,0,0,1,0,95,1,1
351,2,65,0.585,3,3,6,3,0.0,0,0,0,0,0,31,0,1
352,2,69,11.5,3,3,10,8,1.5,0,0,0,1,0,0,4000,1
353,2,155,1.585,2,1,4,8,0.585,0,0,0,1,2,0,0,1
354,2,211,2.0,2,1,7,8,0.25,0,0,0,1,0,76,0,1
355,1,5,0.165,2,1,1,8,1.0,0,1,2,1,0,105,1,1
356,2,244,1.335,2,1,4,8,0.165,0,0,0,0,0,56,0,1
357,1,37,0.165,2,1,11,8,0.04,0,0,0,1,0,122,0,1
358,2,172,3.0,2,1,4,8,0.165,0,0,0,1,0,37,0,1
359,1,212,4.71,2,1,6,3,0.0,0,0,0,0,0,52,0,1
360,1,149,5.5,2,1,9,8,5.5,0,0,0,1,2,31,0,1
361,2,76,2.5,2,1,6,3,0.085,0,0,0,1,0,31,4208,1
362,2,115,0.54,2,1,9,3,0.0,0,0,0,0,0,31,0,1
363,2,11,0.335,3,3,9,8,0.29,0,0,0,0,2,67,0,1
