,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
150,8,2,9,2,6,3,7,7,0,7,7,6,8,0,8,2,8
151,25,8,14,8,8,5,8,5,2,9,12,6,9,3,7,6,7
152,21,4,7,6,5,6,8,8,4,2,8,7,8,7,11,5,8
153,12,5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6
154,11,4,8,6,6,4,6,5,2,8,7,2,8,1,6,3,7
155,14,3,3,5,5,2,9,6,9,7,7,5,10,3,8,4,8
156,1,4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10
157,0,8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5
158,10,6,9,9,6,7,9,6,1,7,10,3,8,3,7,3,9
159,7,3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8
160,19,7,9,7,7,5,6,10,1,8,11,9,5,2,9,3,4
161,22,6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7
162,5,3,8,3,5,1,1,12,4,5,12,11,8,0,8,2,6
163,0,3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8
164,4,3,8,3,6,3,3,6,5,9,5,4,13,0,8,6,9
165,12,4,9,5,7,4,7,7,12,1,7,9,8,8,6,0,8
166,1,4,9,5,7,6,7,8,9,6,7,6,6,2,8,8,10
167,12,3,7,5,5,6,7,8,6,4,6,6,8,5,8,7,9
168,24,6,9,6,7,4,5,8,0,8,8,9,5,2,11,4,4
169,21,4,9,6,7,3,6,12,3,4,7,12,9,3,10,1,8
170,18,2,8,3,6,3,8,8,7,6,7,4,6,2,7,8,8
171,2,2,1,2,2,1,6,8,7,7,8,7,12,1,9,4,10
172,7,4,9,6,6,8,7,7,6,3,7,6,7,8,7,9,9
173,20,5,8,5,6,4,8,6,11,4,8,13,7,3,9,0,8
174,15,6,10,6,6,4,7,10,5,2,11,5,4,4,11,5,7
175,25,3,8,4,6,2,7,7,4,13,10,6,8,0,8,8,8
176,4,3,4,5,2,2,7,7,2,8,11,7,9,2,8,4,8
177,13,5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8
178,15,6,10,5,6,3,5,9,6,3,10,5,6,5,9,4,7
179,7,4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6
180,19,6,11,6,8,5,6,11,3,7,11,9,5,2,12,2,4
181,1,5,5,5,8,4,7,9,10,8,7,5,7,2,8,9,10
182,20,5,10,6,7,2,7,4,14,6,7,15,8,3,9,0,8
183,18,3,4,4,6,2,8,8,6,9,5,5,5,0,8,9,7
184,5,5,6,5,8,2,1,14,5,3,12,9,5,0,8,3,6
185,9,3,9,4,7,4,9,6,1,6,11,4,7,0,6,1,6
186,17,3,6,4,4,4,6,7,5,5,7,6,7,3,7,4,9
187,4,3,2,3,4,3,7,8,5,7,7,5,9,2,8,5,10
188,15,6,9,6,4,4,8,9,5,3,10,5,5,5,10,5,6
189,8,2,2,1,4,1,7,7,1,7,7,6,8,0,8,3,8
190,10,7,10,9,8,9,7,7,5,5,7,6,7,7,6,9,13
191,3,4,10,6,7,4,8,6,8,7,4,5,3,3,8,4,8
192,1,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7
193,7,5,10,7,8,6,7,9,8,5,8,5,6,3,7,7,10
194,12,7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8
195,15,6,11,7,8,3,4,13,9,2,10,6,4,1,10,4,8
196,14,4,8,6,6,4,8,5,8,4,7,5,8,3,8,3,8
197,18,2,8,3,6,3,8,7,7,5,7,6,7,2,9,8,8
198,10,4,7,6,5,4,3,8,3,7,11,11,12,3,8,3,5
199,21,7,10,7,8,3,3,11,4,4,10,12,8,3,10,1,8
200,5,7,11,10,8,5,6,11,2,7,14,7,4,1,10,2,7
201,24,3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8
202,3,4,6,6,4,3,11,6,3,8,11,3,6,3,8,3,9
203,25,1,0,1,1,0,7,7,2,10,8,6,8,0,8,6,8
204,16,3,5,3,6,3,7,8,6,3,8,8,9,3,8,5,7
205,18,8,14,8,8,4,9,4,4,4,13,5,8,3,10,3,8
206,1,5,7,7,5,6,8,6,5,6,9,6,7,3,9,6,10
207,10,8,13,9,7,5,6,7,3,6,10,8,10,6,10,4,7
208,21,3,10,5,7,2,5,8,5,3,9,14,8,3,10,0,8
209,1,4,7,4,5,3,6,7,9,7,7,6,7,2,8,9,10
210,24,2,2,4,4,2,6,10,1,7,7,11,9,1,11,1,8
211,14,3,4,4,3,2,7,7,7,5,7,6,8,2,8,3,8
212,25,6,10,8,7,5,8,6,3,10,12,4,9,1,7,6,9
213,11,2,3,3,2,1,6,4,1,8,7,2,10,0,7,2,8
214,9,1,3,2,2,1,10,6,2,6,12,4,9,0,7,1,7
215,25,1,3,3,2,1,7,8,1,9,11,7,7,1,8,5,7
216,0,3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8
217,11,3,5,4,5,3,8,7,4,5,7,6,8,3,8,7,10
218,9,2,5,3,3,1,10,7,1,7,12,3,7,0,7,1,7
219,16,5,6,6,8,5,8,7,6,3,7,7,12,3,8,6,8
220,13,1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6
221,25,2,6,3,4,1,7,7,3,13,9,6,8,0,8,8,8
222,4,4,9,5,7,3,3,7,6,11,7,6,15,0,8,7,7
223,9,4,7,3,10,3,9,7,3,3,11,4,5,3,8,6,9
224,3,4,8,5,6,3,5,7,10,10,6,5,6,3,8,4,8
225,14,5,10,6,8,5,7,8,9,6,8,8,6,4,8,5,10
226,11,3,6,4,4,2,5,4,3,8,3,2,6,1,6,2,5
227,21,4,5,5,4,2,4,12,4,4,11,11,6,2,10,1,8
228,23,6,10,9,8,6,7,7,0,8,9,6,8,3,8,4,7
229,9,5,8,6,6,3,6,6,4,5,14,8,12,1,6,1,7
230,13,7,10,10,8,5,7,8,3,5,10,6,7,7,8,1,8
231,7,3,5,5,7,4,10,11,3,2,7,8,8,3,10,7,9
232,0,2,7,4,5,3,13,3,3,2,10,1,8,2,6,2,8
233,15,4,6,5,9,9,8,7,5,0,7,6,7,6,10,6,9
234,0,4,9,6,6,2,10,5,3,1,8,1,9,2,7,2,8
235,5,4,8,5,6,3,5,10,4,6,11,10,5,2,10,3,5
236,23,3,4,6,3,2,7,7,1,9,10,6,8,2,8,3,7
237,3,5,11,6,9,4,5,8,11,9,8,7,5,3,8,4,8
238,21,3,7,5,5,3,9,11,2,2,4,10,8,2,12,1,8
239,15,7,10,6,5,4,10,7,4,4,12,4,5,4,11,5,9
240,5,5,9,6,7,6,6,9,4,6,9,9,6,5,9,3,6
241,15,6,11,9,8,5,8,10,7,5,10,4,3,3,10,4,8
242,24,4,10,6,8,2,9,11,0,4,6,11,8,0,10,0,8
243,22,3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8
244,15,6,9,8,7,5,6,11,7,3,11,5,3,2,10,4,8
245,9,5,6,7,7,6,7,8,4,5,7,7,8,4,6,8,6
246,4,4,2,4,4,3,8,7,6,10,6,5,9,2,8,6,8
247,18,4,8,5,6,3,7,5,6,9,5,6,10,0,9,9,8
248,4,3,7,3,5,2,3,8,6,11,7,5,14,0,8,7,8
249,1,5,9,7,7,6,7,9,5,6,10,6,6,3,8,7,8
250,8,1,9,1,7,1,7,7,0,9,7,6,8,0,8,3,8
251,18,6,8,7,6,4,9,6,4,6,10,3,8,2,8,5,10
252,18,3,8,4,6,3,8,6,8,6,7,8,9,2,10,9,8
253,2,3,7,4,5,2,5,8,6,7,6,8,13,1,8,4,10
254,12,8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8
255,15,9,10,7,5,3,6,11,6,2,11,5,5,4,10,4,8
256,17,2,4,4,3,3,7,8,4,4,9,5,8,2,6,3,10
257,20,3,8,5,6,6,8,7,4,4,6,7,8,7,9,5,6
258,20,6,6,6,4,3,4,8,5,8,11,11,9,3,9,2,6
259,3,3,8,4,6,2,5,7,10,8,7,7,5,3,8,4,8
260,20,2,1,3,1,1,7,5,11,5,7,14,8,3,10,0,8
261,9,2,5,3,4,2,10,7,2,6,11,3,7,1,6,2,7
262,25,7,13,7,7,5,6,7,2,9,11,6,8,4,5,8,6
263,5,5,11,7,8,6,7,9,3,6,12,7,6,3,9,2,7
264,21,1,0,2,1,0,8,9,4,2,7,12,8,2,10,0,8
265,12,6,5,8,4,7,6,9,5,3,6,4,8,13,8,5,7
266,20,3,6,4,4,1,7,5,13,5,7,13,8,3,9,0,8
267,1,3,7,4,5,5,7,7,4,6,6,6,6,2,8,5,10
268,11,4,8,6,6,4,6,5,1,9,7,2,10,0,6,3,8
269,19,4,10,5,8,3,8,13,0,5,7,10,8,0,8,0,8
270,3,8,12,8,6,4,9,4,4,6,12,3,8,5,6,5,10
271,19,6,11,6,8,4,6,10,1,10,11,9,5,2,8,4,4
272,14,5,8,7,6,4,7,5,8,4,6,4,7,3,9,4,9
273,19,1,0,2,1,0,7,14,1,4,7,10,8,0,8,0,8
274,20,4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6
275,3,2,4,4,2,2,9,6,4,6,11,4,6,2,8,3,8
276,17,4,8,5,5,3,5,11,8,3,7,4,8,3,7,6,11
277,6,7,10,7,7,5,5,7,7,6,9,8,10,2,9,5,9
278,3,2,1,2,2,1,6,7,8,7,6,6,6,2,8,3,8
279,18,3,8,4,6,4,7,7,7,5,7,6,8,2,8,8,8
280,18,7,10,9,8,10,9,5,5,4,9,6,9,6,9,12,11
281,12,6,10,9,8,8,7,7,2,4,9,7,8,8,6,2,8
282,12,4,8,6,6,8,9,6,2,2,8,4,8,7,7,2,5
283,3,6,7,8,6,6,5,7,6,7,7,4,7,3,6,5,6
284,25,4,9,6,7,4,8,6,2,9,12,5,9,3,6,8,8
285,22,4,9,7,7,5,9,8,4,1,6,9,8,7,11,0,8
286,2,2,1,3,2,1,6,8,6,7,7,8,12,1,9,4,10
287,10,3,6,4,4,4,6,7,3,7,6,6,9,3,8,6,10
288,9,6,9,9,7,5,8,5,7,7,8,6,7,2,6,4,6
289,0,6,9,8,8,8,8,7,3,5,7,8,8,6,8,4,5
290,3,5,12,5,6,4,8,7,3,6,10,5,7,5,8,7,6
291,2,4,8,6,6,4,8,8,8,6,7,6,8,4,7,4,8
292,21,3,4,4,3,1,4,12,3,3,10,11,7,2,11,1,8
293,18,4,7,4,5,2,9,10,6,9,5,6,6,0,7,8,9
294,5,4,9,6,6,4,9,8,1,6,13,5,5,1,10,2,9
295,0,5,10,7,8,5,8,3,3,1,7,1,8,5,9,5,8
296,1,3,2,4,3,3,8,7,5,6,7,6,6,2,8,6,9
297,13,2,3,3,2,2,7,9,5,4,7,6,7,5,9,2,7
298,20,6,10,5,6,3,6,6,4,4,6,7,8,5,5,2,8
299,18,4,10,5,8,5,7,7,5,8,5,6,8,0,8,9,8
300,16,2,5,3,6,3,8,8,7,2,5,7,10,3,9,5,9
301,5,4,8,4,5,1,1,13,5,5,12,11,7,0,8,2,6
302,5,4,9,6,6,5,5,10,4,6,10,10,6,2,10,3,6
303,23,5,10,8,8,4,8,7,4,10,6,6,8,4,6,8,9
304,0,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8
305,1,4,9,4,6,3,6,7,9,7,7,6,7,2,8,9,10
306,14,5,9,6,7,5,7,7,8,7,7,6,7,2,8,3,8
307,9,2,6,3,4,1,14,1,6,5,14,2,11,0,7,0,8
308,7,4,8,5,5,2,7,5,15,1,7,9,8,3,8,0,8
309,12,6,9,7,4,3,6,9,5,5,4,4,10,8,7,2,8
310,8,3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7
311,22,6,10,6,8,6,2,10,2,3,10,9,8,7,11,2,6
312,13,3,6,4,4,3,6,7,8,5,7,5,7,3,7,3,8
313,0,1,3,2,2,1,10,3,2,1,9,2,9,1,6,1,8
314,18,2,3,4,1,1,7,8,2,6,10,5,7,1,8,4,8
315,15,1,0,1,0,0,5,10,6,1,9,6,5,0,9,2,8
316,3,6,9,8,8,8,7,6,5,7,7,5,9,6,5,9,4
317,12,7,9,10,7,6,5,6,4,5,11,10,11,11,5,4,8
318,19,4,8,5,6,5,8,11,3,6,6,11,8,3,12,1,7
319,11,3,6,4,4,2,5,5,1,9,6,2,11,0,8,3,7
320,23,3,6,4,4,1,7,7,4,4,7,6,8,3,8,4,8
321,6,2,4,3,6,2,7,7,8,6,5,7,9,2,7,5,11
322,3,6,10,8,8,5,10,5,4,8,11,3,7,4,6,4,9
323,4,3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7
324,13,2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,7
325,6,2,4,3,3,2,6,6,6,5,6,6,9,2,8,4,8
326,21,7,10,6,8,3,2,11,5,5,12,12,8,2,10,1,8
327,0,2,7,4,4,2,7,3,3,2,7,2,8,3,7,2,8
328,4,5,9,4,4,2,8,7,4,4,10,5,10,3,8,7,10
329,10,4,5,5,8,2,3,6,7,3,7,8,12,3,8,3,10
330,12,6,9,9,6,6,5,7,3,5,10,10,9,8,6,3,8
331,11,5,11,5,6,3,7,5,3,5,12,7,11,3,8,6,9
332,19,5,6,5,4,2,5,12,3,8,12,9,4,1,11,2,4
333,6,2,4,4,3,2,7,6,6,6,6,6,10,2,9,4,9
334,9,2,4,4,3,1,8,8,2,7,15,5,8,0,7,1,8
335,5,5,10,5,7,2,1,14,5,4,12,10,6,0,8,2,5
336,22,7,8,7,6,6,6,11,5,2,9,6,6,8,13,4,4
337,0,3,6,5,4,3,12,3,2,2,9,2,9,2,6,2,8
338,10,6,11,8,8,5,9,5,1,7,10,3,9,5,9,5,11
339,15,1,1,2,2,1,5,10,4,4,10,8,4,1,9,3,7
340,12,7,6,9,5,9,7,7,5,4,6,5,8,10,8,5,5
341,14,2,6,3,4,2,8,7,7,5,7,6,9,2,8,3,8
342,18,4,11,5,8,3,6,6,6,9,4,6,9,0,9,9,8
343,2,4,6,6,5,5,4,7,3,6,6,6,10,4,10,7,7
344,14,1,0,2,1,0,8,7,6,4,7,6,8,2,8,3,8
345,25,2,1,3,2,1,7,7,5,9,6,6,9,1,8,7,8
346,23,4,9,6,7,6,9,7,3,6,7,4,5,6,6,9,8
347,22,4,4,5,3,3,6,11,5,2,8,7,6,6,11,2,6
348,1,4,9,4,6,5,6,6,8,6,6,6,7,2,8,7,9
349,2,6,11,6,8,4,4,8,5,6,12,10,11,2,10,3,7
350,5,2,4,3,3,2,5,10,3,5,10,9,5,1,10,3,6
351,8,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8
352,1,1,3,2,2,1,8,7,3,5,10,5,7,2,8,3,9
353,15,3,4,5,2,2,8,9,3,5,13,4,3,1,10,3,8
354,10,11,14,10,8,4,6,8,3,7,9,8,10,6,8,4,6
355,20,4,5,5,4,2,5,8,5,8,10,8,8,3,9,3,5
356,13,3,8,4,6,2,7,7,14,2,5,6,8,5,8,0,8
357,24,4,11,6,8,1,7,11,2,3,8,12,8,1,11,0,8
358,8,3,5,5,6,4,8,8,4,4,7,6,8,3,7,8,8
359,16,8,15,7,8,4,8,5,4,9,11,4,10,3,6,9,9
360,16,4,5,4,7,4,9,7,6,2,8,6,11,3,9,6,8
361,25,1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,8
362,5,4,5,5,6,5,7,9,5,4,8,6,7,4,9,8,7
363,12,8,10,11,8,8,9,6,2,5,9,6,7,8,6,2,8
364,3,4,7,5,5,2,5,7,10,9,7,6,5,3,8,4,8
365,13,2,3,3,1,1,8,9,3,4,10,4,6,4,9,1,7
366,22,5,10,8,8,5,3,10,3,3,9,10,9,8,11,1,8
367,20,4,9,4,6,4,7,5,13,5,7,10,8,3,9,0,8
368,6,6,11,8,9,6,6,6,7,5,5,6,12,5,7,5,6
369,6,7,11,9,8,11,8,5,4,3,6,5,10,8,7,9,13
370,14,5,10,4,5,3,7,7,5,4,7,4,7,5,8,5,8
371,20,2,6,3,4,1,8,6,13,5,7,13,8,3,9,0,8
372,10,6,10,8,8,8,6,7,5,3,7,5,8,5,7,10,8
373,22,4,8,6,6,3,4,8,5,1,7,9,8,8,10,0,8
374,10,5,7,7,5,5,5,7,2,6,10,8,11,3,8,3,8
375,4,5,11,4,6,2,9,6,4,6,10,5,9,1,10,7,9
376,21,3,6,5,4,1,9,8,4,2,5,14,8,3,10,0,8
377,17,8,12,8,7,6,9,6,3,5,9,4,8,6,8,6,8
378,25,4,11,5,8,5,9,6,6,10,7,5,6,2,7,8,8
379,18,4,10,6,7,4,7,8,3,7,10,5,7,2,6,5,8
380,13,3,6,5,4,5,7,8,3,3,8,7,8,5,9,5,4
381,23,5,11,8,8,4,5,8,2,8,10,11,9,3,9,4,6
382,8,3,6,4,4,2,5,7,3,7,7,6,12,0,8,4,9
383,16,1,2,2,3,1,8,7,4,1,7,8,10,2,9,3,9
384,13,10,15,9,8,4,7,9,4,5,3,5,10,6,10,2,7
385,2,5,7,5,5,3,6,7,6,8,12,8,12,2,10,4,7
